Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Mischer Auf geregelte Fernleitung 2;DAQ-DIG;3;;r;16191;16192;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu geregelte Fernleitung 2;DAQ-DIG;3;;r;16192;16193;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizung Lambdasonde;DAQ-DIG;3;;r;16078;16079;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizung Zündung;DAQ-DIG;3;;r;16079;16080;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebläse Zündung;DAQ-DIG;3;;r;16080;16081;;;;;;;;;;;;;;;;;;;;;;;;;;
Ascheaustragung aktiv;DAQ-DIG;3;;r;16081;16082;;;;;;;;;;;;;;;;;;;;;;;;;;
Richtung Ascheaustragung;DAQ-DIG;3;;r;16082;16083;;;;;;;;;;;;;;;;;;;;;;;;;;
Einschubschnecke aktiv;DAQ-DIG;3;;r;16084;16085;;;;;;;;;;;;;;;;;;;;;;;;;;
Richtung Einschubschnecke;DAQ-DIG;3;;r;16085;16086;;;;;;;;;;;;;;;;;;;;;;;;;;
Raumaustragung Sauger aktiv;DAQ-DIG;3;;r;16077;16078;;;;;;;;;;;;;;;;;;;;;;;;;;
Raumaustragung aktiv;DAQ-DIG;3;;r;16086;16087;;;;;;;;;;;;;;;;;;;;;;;;;;
Richtung Raumaustragung;DAQ-DIG;3;;r;16087;16088;;;;;;;;;;;;;;;;;;;;;;;;;;
Reinigung freigegeben;DAQ-DIG;3;;r;16188;16189;;;;;;;;;;;;;;;;;;;;;;;;;;
Reinigung aktiv;DAQ-DIG;3;;r;16189;16190;;;;;;;;;;;;;;;;;;;;;;;;;;
Reinigung in Endlage;DAQ-DIG;3;;r;16161;16162;;;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Füllen;DAQ-DIG;3;;r;16164;16165;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis A;DAQ-DIG;3;;r;16028;16029;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis A;DAQ-DIG;3;;r;16008;16009;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis A;DAQ-DIG;3;;r;16009;16010;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis 1;DAQ-DIG;3;;r;16029;16030;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis 1;DAQ-DIG;3;;r;16010;16011;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis 1;DAQ-DIG;3;;r;16011;16012;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis 2;DAQ-DIG;3;;r;16030;16031;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis 2;DAQ-DIG;3;;r;16012;16013;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis 2;DAQ-DIG;3;;r;16013;16014;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis 3;DAQ-DIG;3;;r;16031;16032;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis 3;DAQ-DIG;3;;r;16014;16015;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis 3;DAQ-DIG;3;;r;16015;16016;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis 4;DAQ-DIG;3;;r;16032;16033;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis 4;DAQ-DIG;3;;r;16016;16017;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis 4;DAQ-DIG;3;;r;16017;16018;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis 5;DAQ-DIG;3;;r;16033;16034;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis 5;DAQ-DIG;3;;r;16018;16019;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis 5;DAQ-DIG;3;;r;16019;16020;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis 6;DAQ-DIG;3;;r;16034;16035;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis 6;DAQ-DIG;3;;r;16020;16021;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis 6;DAQ-DIG;3;;r;16021;16022;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Heizkreis B;DAQ-DIG;3;;r;16035;16036;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf Heizkreis B;DAQ-DIG;3;;r;16022;16023;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu Heizkreis B;DAQ-DIG;3;;r;16023;16024;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Boiler A;DAQ-DIG;3;;r;16002;16003;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Boiler 1;DAQ-DIG;3;;r;16003;16004;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Boiler 2;DAQ-DIG;3;;r;16004;16005;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Boiler 3;DAQ-DIG;3;;r;16005;16006;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Boiler B;DAQ-DIG;3;;r;16006;16007;;;;;;;;;;;;;;;;;;;;;;;;;;
Zirkulationspumpe Boiler A;DAQ-DIG;3;;r;16049;16050;;;;;;;;;;;;;;;;;;;;;;;;;;
Zirkulationspumpe Boiler 1;DAQ-DIG;3;;r;16050;16051;;;;;;;;;;;;;;;;;;;;;;;;;;
Zirkulationspumpe Boiler 2;DAQ-DIG;3;;r;16051;16052;;;;;;;;;;;;;;;;;;;;;;;;;;
Zirkulationspumpe Boiler 3;DAQ-DIG;3;;r;16052;16053;;;;;;;;;;;;;;;;;;;;;;;;;;
Zirkulationspumpe Boiler B;DAQ-DIG;3;;r;16053;16054;;;;;;;;;;;;;;;;;;;;;;;;;;
Sicherheitsschalter Aschebox;DAQ-DIG;3;;r;16098;16099;;;;;;;;;;;;;;;;;;;;;;;;;;
Netztrafo aktiv;DAQ-DIG;3;;r;16165;16166;;;;;;;;;;;;;;;;;;;;;;;;;;
Netzrelais aktiv;DAQ-DIG;3;;r;16166;16167;;;;;;;;;;;;;;;;;;;;;;;;;;
Sicherheitsschalter Lager;DAQ-DIG;3;;r;16101;16102;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Fernleitung 1;DAQ-DIG;3;;r;16107;16108;;;;;;;;;;;;;;;;;;;;;;;;;;
Abgastemperaturwächter;DAQ-DIG;3;;r;16113;16114;;;;;;;;;;;;;;;;;;;;;;;;;;
Entaschung gesperrt;DAQ-DIG;3;;r;16112;16113;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreisventil;DAQ-DIG;3;;r;16055;16056;;;;;;;;;;;;;;;;;;;;;;;;;;
Spülung aktiv Nano-PK Plus;DAQ-DIG;3;;r;16167;16168;;;;;;;;;;;;;;;;;;;;;;;;;;
Externer Heizkreis vorhanden;DAQ-DIG;3;;r;16540;16541;;;;;;;;;;;;;;;;;;;;;;;;;;
Externer Heizkreis 2 vorhanden;DAQ-DIG;3;;r;16542;16543;;;;;;;;;;;;;;;;;;;;;;;;;;
Externer Heizkreis 3 vorhanden;DAQ-DIG;3;;r;16543;16544;;;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung externer Heizkreis;DAQ-DIG;3;;r;15999;16000;;;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung externer Heizkreis 2;DAQ-DIG;3;;r;16001;16002;;;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung externer Heizkreis 3;DAQ-DIG;3;;r;16115;16116;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe externer Heizkreis 1;DAQ-DIG;3;;r;16025;16026;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe externer Heizkreis 2;DAQ-DIG;3;;r;16027;16028;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe externer Heizkreis 3;DAQ-DIG;3;;r;16106;16107;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade minimale Leistung Kessel A;DAQ-DIG;3;;r;16120;16121;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade minimale Leistung Kessel B;DAQ-DIG;3;;r;16121;16122;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade minimale Leistung Kessel C;DAQ-DIG;3;;r;16122;16123;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade minimale Leistung Kessel D;DAQ-DIG;3;;r;16123;16124;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade maximale Leistung Kessel A;DAQ-DIG;3;;r;16126;16127;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade maximale Leistung Kessel B;DAQ-DIG;3;;r;16127;16128;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade maximale Leistung Kessel C;DAQ-DIG;3;;r;16128;16129;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade maximale Leistung Kessel D;DAQ-DIG;3;;r;16129;16130;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel A aktiv;DAQ-DIG;3;;r;16132;16133;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel B aktiv;DAQ-DIG;3;;r;16133;16134;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel C aktiv;DAQ-DIG;3;;r;16134;16135;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel D aktiv;DAQ-DIG;3;;r;16135;16136;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel A Startbereit;DAQ-DIG;3;;r;16138;16139;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel B Startbereit;DAQ-DIG;3;;r;16139;16140;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel C Startbereit;DAQ-DIG;3;;r;16140;16141;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Kessel D Startbereit;DAQ-DIG;3;;r;16141;16142;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade KWK Out;DAQ-DIG;3;;r;16168;16169;;;;;;;;;;;;;;;;;;;;;;;;;;
Ausgang Ölkessel;DAQ-DIG;3;;r;16157;16158;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade KWK ok;DAQ-DIG;3;;r;16162;16163;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade FW ok;DAQ-DIG;3;;r;16163;16164;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Pumpe 2;DAQ-DIG;3;;r;16037;16038;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Pumpe 3;DAQ-DIG;3;;r;16038;16039;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Mischer/Ventil Auf;DAQ-DIG;3;;r;16039;16040;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Mischer Zu;DAQ-DIG;3;;r;16040;16041;;;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler Pumpe 2;DAQ-DIG;3;;r;16041;16042;;;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler Mischer/Ventil Auf;DAQ-DIG;3;;r;16043;16044;;;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler Mischer Zu;DAQ-DIG;3;;r;16044;16045;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler 3 Pumpe 2;DAQ-DIG;3;;r;16045;16046;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler 3 Pumpe 3;DAQ-DIG;3;;r;16046;16047;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler 3 Mischer/Ventil Auf;DAQ-DIG;3;;r;16047;16048;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler 3 Mischer Zu;DAQ-DIG;3;;r;16048;16049;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Modus;WAHL;3;6;rw;19999;20000;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Heizkreis 1 Modus;WAHL;3;6;rw;20000;20001;;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Heizkreis 2 Modus;WAHL;3;6;rw;20001;20002;;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Heizkreis 3 Modus;WAHL;3;6;rw;20002;20003;;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Heizkreis 4 Modus;WAHL;3;6;rw;20003;20004;;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Heizkreis 5 Modus;WAHL;3;6;rw;20004;20005;;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Heizkreis 6 Modus;WAHL;3;6;rw;20005;20006;;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Heizkreis B Modus;WAHL;3;6;rw;20006;20007;;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
Auswahl Wochenprogramm KNX ;WAHL;3;6;rw;20007;20008;;;;;;0;1;2;3;4;5;6;;;;;;;;;;;;;;
Zentralpuffer Ladung starten;WAHL;3;6;rw;20929;20930;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Boiler A Ladung starten;WAHL;3;6;rw;20930;20931;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Boiler 1 Ladung starten;WAHL;3;6;rw;20931;20932;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Boiler 2 Ladung starten;WAHL;3;6;rw;20932;20933;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Boiler 3 Ladung starten;WAHL;3;6;rw;20933;20934;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Boiler B Ladung starten;WAHL;3;6;rw;20934;20935;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Zusatzpuffer HKM1 Ladung starten;WAHL;3;;rw;23981;23982;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Zusatzpuffer HKM2 Ladung starten;WAHL;3;;rw;23982;23983;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Boiler 1 Tagesuhr Mo-So;TPROG;3;;rw;20099;20100;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Wochenuhr;WPROG;3;;rw;20103;20104;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Wochenuhr;WPROG;3;;rw;20108;20109;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Wochenuhr;WPROG;3;;rw;20113;20114;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Wochenuhr;WPROG;3;;rw;20118;20119;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Wochenuhr;WPROG;3;;rw;20123;20124;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Wochenuhr;WPROG;3;;rw;20128;20129;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Wochenuhr;WPROG;3;;rw;20133;20134;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Solltemperatur;INT;3;;rw;20138;20139;;°C;10;84;1;;;;;;;;;;;;;;;;;;;;;
Boiler 1 Zirkulationspumpe;TPROG;3;;rw;20139;20140;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Tagesuhr Mo-So;TPROG;3;;rw;20143;20144;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Wochenuhr;WPROG;3;;rw;20147;20148;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Wochenuhr;WPROG;3;;rw;20152;20153;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Wochenuhr;WPROG;3;;rw;20157;20158;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Wochenuhr;WPROG;3;;rw;20162;20163;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Wochenuhr;WPROG;3;;rw;20167;20168;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Wochenuhr;WPROG;3;;rw;20172;20173;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Wochenuhr;WPROG;3;;rw;20177;20178;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Tages-Raumtemperatur;FLOAT;3;;rw;20182;20183;;°C;14.00;26.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 1 Absenk-Raumtemperatur;FLOAT;3;;rw;20184;20185;;°C;8.00;24.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Tagesuhr Mo-So;TPROG;3;;rw;20186;20187;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Wochenuhr;WPROG;3;;rw;20190;20191;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Wochenuhr;WPROG;3;;rw;20195;20196;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Wochenuhr;WPROG;3;;rw;20200;20201;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Wochenuhr;WPROG;3;;rw;20205;20206;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Wochenuhr;WPROG;3;;rw;20210;20211;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Wochenuhr;WPROG;3;;rw;20215;20216;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Wochenuhr;WPROG;3;;rw;20220;20221;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Tages-Raumtemperatur;FLOAT;3;;rw;20225;20226;;°C;14.00;26.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 2 Absenk-Raumtemperatur;FLOAT;3;;rw;20227;20228;;°C;8.00;24.00;0.50;;;;;;;;;;;;;;;;;;;;;
Boiler A Tagesuhr Mo-So;TPROG;3;;rw;20008;20009;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Wochenuhr;WPROG;3;;rw;20012;20013;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Wochenuhr;WPROG;3;;rw;20017;20018;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Wochenuhr;WPROG;3;;rw;20022;20023;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Wochenuhr;WPROG;3;;rw;20027;20028;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Wochenuhr;WPROG;3;;rw;20032;20033;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Wochenuhr;WPROG;3;;rw;20037;20038;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Wochenuhr;WPROG;3;;rw;20042;20043;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler A Solltemperatur;INT;3;;rw;20047;20048;;°C;10;84;1;;;;;;;;;;;;;;;;;;;;;
Boiler A Zirkulationspumpe;TPROG;3;;rw;20052;20053;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Tagesuhr Mo-So;TPROG;3;;rw;20056;20057;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Wochenuhr;WPROG;3;;rw;20060;20061;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Wochenuhr;WPROG;3;;rw;20065;20066;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Wochenuhr;WPROG;3;;rw;20070;20071;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Wochenuhr;WPROG;3;;rw;20075;20076;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Wochenuhr;WPROG;3;;rw;20080;20081;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Wochenuhr;WPROG;3;;rw;20085;20086;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Wochenuhr;WPROG;3;;rw;20090;20091;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Tages-Raumtemperatur;FLOAT;3;;rw;20095;20096;;°C;14.00;26.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis A Absenk-Raumtemperatur;FLOAT;3;;rw;20097;20098;;°C;8.00;24.00;0.50;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Tagesuhr Mo-So;TPROG;3;;rw;20229;20230;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Wochenuhr;WPROG;3;;rw;20233;20234;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Wochenuhr;WPROG;3;;rw;20238;20239;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Wochenuhr;WPROG;3;;rw;20243;20244;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Wochenuhr;WPROG;3;;rw;20248;20249;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Wochenuhr;WPROG;3;;rw;20253;20254;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Wochenuhr;WPROG;3;;rw;20258;20259;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Wochenuhr;WPROG;3;;rw;20263;20264;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Solltemperatur;INT;3;;rw;20268;20269;;°C;10;84;1;;;;;;;;;;;;;;;;;;;;;
Boiler 2 Zirkulationspumpe;TPROG;3;;rw;20269;20270;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Tagesuhr Mo-So;TPROG;3;;rw;20327;20328;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Wochenuhr;WPROG;3;;rw;20331;20332;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Wochenuhr;WPROG;3;;rw;20336;20337;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Wochenuhr;WPROG;3;;rw;20341;20342;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Wochenuhr;WPROG;3;;rw;20346;20347;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Wochenuhr;WPROG;3;;rw;20351;20352;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Wochenuhr;WPROG;3;;rw;20356;20357;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Wochenuhr;WPROG;3;;rw;20361;20362;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Tages-Raumtemperatur;FLOAT;3;;rw;20366;20367;;°C;14.00;26.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 3 Absenk-Raumtemperatur;FLOAT;3;;rw;20368;20369;;°C;8.00;24.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Tagesuhr Mo-So;TPROG;3;;rw;20370;20371;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Wochenuhr;WPROG;3;;rw;20374;20375;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Wochenuhr;WPROG;3;;rw;20379;20380;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Wochenuhr;WPROG;3;;rw;20384;20385;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Wochenuhr;WPROG;3;;rw;20389;20390;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Wochenuhr;WPROG;3;;rw;20394;20395;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Wochenuhr;WPROG;3;;rw;20399;20400;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Wochenuhr;WPROG;3;;rw;20404;20405;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Tages-Raumtemperatur;FLOAT;3;;rw;20409;20410;;°C;14.00;26.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 4 Absenk-Raumtemperatur;FLOAT;3;;rw;20411;20412;;°C;8.00;24.00;0.50;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Tagesuhr Mo-So;TPROG;3;;rw;20283;20284;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Wochenuhr;WPROG;3;;rw;20287;20288;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Wochenuhr;WPROG;3;;rw;20292;20293;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Wochenuhr;WPROG;3;;rw;20297;20298;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Wochenuhr;WPROG;3;;rw;20302;20303;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Wochenuhr;WPROG;3;;rw;20307;20308;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Wochenuhr;WPROG;3;;rw;20312;20313;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Wochenuhr;WPROG;3;;rw;20317;20318;;;;;;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Solltemperatur;INT;3;;rw;20322;20323;;°C;10;84;1;;;;;;;;;;;;;;;;;;;;;
Boiler 3 Zirkulationspumpe;TPROG;3;;rw;20323;20324;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Tagesuhr Mo-So;TPROG;3;;rw;20413;20414;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Wochenuhr;WPROG;3;;rw;20417;20418;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Wochenuhr;WPROG;3;;rw;20422;20423;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Wochenuhr;WPROG;3;;rw;20427;20428;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Wochenuhr;WPROG;3;;rw;20432;20433;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Wochenuhr;WPROG;3;;rw;20437;20438;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Wochenuhr;WPROG;3;;rw;20442;20443;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Wochenuhr;WPROG;3;;rw;20447;20448;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Tages-Raumtemperatur;FLOAT;3;;rw;20452;20453;;°C;14.00;26.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 5 Absenk-Raumtemperatur;FLOAT;3;;rw;20454;20455;;°C;8.00;24.00;0.50;;;;;;;;;;;;;;;;;;;;;
Heizkreis 6 Tagesuhr Mo-So;TPROG;3;;rw;20456;20457;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 6 Wochenuhr;WPROG;3;;rw;20460;20461;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 6 Wochenuhr;WPROG;3;;rw;20465;20466;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 6 Wochenuhr;WPROG;3;;rw;20470;20471;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 6 Wochenuhr;WPROG;3;;rw;20475;20476;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 6 Wochenuhr;WPROG;3;;rw;20480;20481;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkreis 6 Wochenuhr;WPROG;3;;rw;20485;20486;;;;;;;;;;;;;;;;;;;;;;;;;;
