Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
D1ia;system;;;;HKM 2 Anzeige HKM-Ansicht;BITFIELD;3;;rw;23976;23977;1;;;;;;;;;;;;;;;;;;;;;;;;;
D1j;umschalteinheit;D1a;1,2,3,4,5;;AUP Positionen Sperre;BITFIELD;3;;rw;21789;21790;1;;;;;;;;;;;;;;;;;;;;;;;;;
D1k;umschalteinheit;D1a;1,2,3,4,5;;AUP Positionen Leer;BITFIELD;3;;rw;21791;21792;1;;;;;;;;;;;;;;;;;;;;;;;;;
D2;witterung;;;;Frostschutz Ein unter Außentemperatur;INT;3;;rw;20909;20910;1;°C;-30;20;1;;;;;;;;;;;;;;;;;;;;;
D3;kessel;D4;1;;Frostschutz Vorlauf-Solltemperatur HK;INT;3;;rw;20910;20911;1;°C;1;30;1;;;;;;;;;;;;;;;;;;;;;
D4;kessel;;;;Lambdasonde;WAHL;3;;rw;21869;21870;1;;;;;Nicht vorhanden;Vorhanden;;;;;;;;;;;;;;;;;;;
D5;system;;;;Umschaltung Tagabsenkung;TPROG;3;16;rw;20911;20912;1;;;;;;;;;;;;;;;;;;;;;;;;;
D6;kessel;D4;1;;Freigabe Putzeinrichtung;TPROG;3;16;rw;21870;21871;1;;;;;;;;;;;;;;;;;;;;;;;;;
D7;system;;;;Alle Heizkreise Sommerabschaltung Sperrzeit;INT;3;;rw;20915;20916;1;Min;0;240;10;;;;;;;;;;;;;;;;;;;;;
D8;system;;;;Sommerzeit;WAHL;3;;rw;20916;20917;1;;;;;keine  Umschaltung;autom. Umschaltung;;;;;;;;;;;;;;;;;;;
D9;system;;;;Tagesuhr/Wochenuhr;WAHL;3;;rw;20917;20918;1;;;;;Tagesuhr;Wochenuhr;HK+Boiler Wochenuhr;;;;;;;;;;;;;;;;;;
D10;system;;;;Anzahl der Blöcke für Wochenuhr;INT;3;;rw;20918;20919;1;;1;7;1;;;;;;;;;;;;;;;;;;;;;
D11;system;;;;Urlaubsschaltung;WAHL;3;;rw;20919;20920;1;;;;;getrennt;alle HK gemeinsam;;;;;;;;;;;;;;;;;;;
D12;witterung;;;;Außentemperatur-Abschaltung;WAHL;3;;rw;20920;20921;1;;;;;getrennt;alle HK gemeinsam;;;;;;;;;;;;;;;;;;;
D13;system;;;;Außenfühler;WAHL;3;;rw;20921;20922;1;;;;;"Nicht vorhanden
(ohne Kesselfrostschutz)";Vorhanden;"Nicht vorhanden
(mit Kesselfrostschutz)";Modbus;KNX;;;;;;;;;;;;;;;;
D17;system;;;;"Datenaufzeichnung
(SD)";WAHL;3;;rw;20922;20923;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
D20;system;;;;Fühlertype;WAHL;3;;rw;21874;21875;1;;;;;KTY;PT1000;;;;;;;;;;;;;;;;;;;
D23;system;;;;Info / Verlauf;WAHL;3;;rw;21580;21581;1;;;;;Nicht anzeigen;Anzeigen;;;;;;;;;;;;;;;;;;;
D23g;system;;;;Wärmemenge;WAHL;3;;rw;21784;21785;1;;;;;Nicht anzeigen;Anzeigen;;;;;;;;;;;;;;;;;;;
D23h;system;;;;Pumpenstärke;FLOAT;3;;rw;21785;21786;1;l/h;0.00;10000.00;0.10;;;;;;;;;;;;;;;;;;;;;
D24;system;;;;Modbus aktiviert;WAHL;3;;rw;20926;20927;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
D24a;system;;;;Fühler über Modbus;BITFIELD;3;;rw;24297;24298;1;;;;;;;;;;;;;;;;;;;;;;;;;
D25;knx;;;;KNX aktiviert;WAHL;3;;rw;21222;21223;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
D25a;knx;;;;KNX geänderte Daten senden nach;INT;3;;rw;21223;21224;1;Sek;0;300;1;;;;;;;;;;;;;;;;;;;;;
